DETLOC,Name,Address,City,County,State,Zip,AOR,Date of Last Use,Date of First Use,Lat,Lng
BOPBAS,BASTROP FEDERAL CORRECTIONAL INSTITUTE,P.O. BOX 730,BASTROP,BASTROP,TX,78602,SNA,9/8/07,19/05/1983,30.19163,-97.30764
BAYCOFL,BAY COUNTY,5600 NEHI ROAD,PANAMA CITY,BAY,FL,32404,MIA,9/11/04,26/01/1995,30.178565,-85.566909
BAYAMPR,BAYAMON HOSPITAL,100 LAUREL AVENUE,BAYAMON,SANTA JUANITA,PR,956,MIA,30/08/2017,27/03/2017,18.36813,-66.1545
BEACOSD,BEADLE COUNTY,"455 4th St SW, Rm #100
Huron, SD 57350",HURON,BEADLE,SD,57350,SPM,13/03/2006,10/7/95,44.362115,-98.2219523
BOPBMP,BEAUMONT FEDERAL,4550 HEBERT RD,BEAUMONT,JEFFERSON,TX,77720,HOU,13/03/2008,24/01/1995,29.96489,-94.07944
BOPBMA,BEAUMONT FEDERAL CORRECTIONAL INSTITUTE,"5560 KNAUTH ROAD
BEAUMONT, TX  77705",BEAUMONT,JEFFERSON,TX,77720,HOU,22/07/2004,5/3/99,29.965166,-94.077397
BOPBML,BEAUMONT LOW SECURITY FEDERAL CORRECTIONAL CENTER,4550 HEBERT RD,BEAUMONT,JEFFERSON,TX,77720,HOU,16/10/2005,21/10/1999,29.965204,-94.076431
BOPBMM,BEAUMONT MEDIUM SECURITY FEDERAL CORRECTIONAL CENT,4550 HEBERT RD,BEAUMONT,JEFFERSON,TX,77720,HOU,16/01/2006,6/11/97,29.965204,-94.076431
BEAURLA,BEAUREGARD PARISH JAIL,412 MAYEAUX DRIVE,DE RIDDER,BEAUREGARD,LA,70634,NOL,4/11/04,4/2/88,30.84228,-93.28432
BEAVRPA,BEAVER COUNTY JAIL,6000 WOODLAWN BOULEVARD,ALIQUIPPA,BEAVER,PA,15001,PHI,4/11/17,28/08/2017,40.629013,-80.239052
BVRHDMT,BEAVERHEAD COUNTY DETENTION CENTER,2 SOUTH PACIFIC,DILLON,DENVER,MT,59725,SLC,11/1/08,19/12/2007,45.21581,-112.63481
BOPBEC,BECKLEY FEDERAL CORRECTIONAL INSTITUTE,"1600 INDUSTRIAL ROAD
BEAVER, WV  25813",BEAVER,RALEIGH,WV,25813,PHI,17/05/2006,5/6/92,37.785061,-81.202362
BEDFOPA,BEDFORD COUNTY JAIL,204 THOMAS STREET,BEDFORD,BEDFORD,PA,15522,PHI,7/12/09,20/03/1994,40.008089,-78.504786
BEDFOOH,BEDFORD HEIGHTS CITY JAIL,5661 PERKINS ROAD,BEDFORD HTS,CUYAHOGA,OH,44146,DET,27/04/2015,31/12/1996,41.4089587,-81.4969259
BEDCITX,BEDFORD MUNICIPAL DETENTION CENTER,2121 L DON DODSON DRIVE,BEDFORD,TARRANT,TX,76021,DAL,4/11/17,6/7/99,32.84109036,-97.13309243
BELKNNH,BELKNAP COUNTY JAIL,76 COUNTY DR,LACONIA,BELKNAP,NH,3246,BOS,21/10/2002,21/10/1992,43.54336614,-71.48424633
BELCOTX,BELL COUNTY JAIL,111 W. CENTRAL,BELTON,BELL,TX,76513,SNA,24/09/2007,22/05/1998,31.0463067,-97.48805383
BELJUTX,BELL COUNTY JUVENILE,4800 EAST RANCIER,KILLEEN,BELL,TX,76543,SNA,19/02/2007,21/01/1999,31.115801,-97.676738
BELPDMI,BELLEVILLE POLICE DEPARTMENT (MICHIGAN),6 MAIN ST.,BELLEVILLE,WAYNE,MI,48111,DET,28/03/2004,23/03/1991,42.20504333,-83.48559846
BEHOSNY,BELLEVUE HOSPITAL,462 1ST AVENUE,NEW YORK,NEW YORK,NY,10016,NYC,10/4/17,5/6/14,40.7395563,-73.976083
BLHHOLD,BELLINGHAM BPS ERO HOLDROOM,1431 SUNSET AVE,FERNDALE,WHATCOM,WA,98248,SEA,4/11/17,14/09/2017,48.82248594,-122.5611793
BPHOSOH,BELLMONT PINES HOSPITAL,615 CHURCH HILL-HUBBARD ROAD,YOUNGSTOWN,MAHONING,OH,44505,DET,9/6/04,10/1/00,41.127676,-80.627273
BENTCCO,BENT COUNTY JAIL,11100 COUNTY RD GG 75,LAS ANIMAS,BENT,CO,81054,DEN,8/10/07,12/7/06,38.075749,-103.215199
BENTOAR,BENTON COUNTY DETENTION CENTER,1300 SW 14TH STREET,BENTONVILLE,BENTON,AR,72712,NOL,11/6/08,30/01/2001,36.357448,-94.229937
BENTOIA,BENTON COUNTY JAIL,113 E 3RD ST,VINTON,BENTON,IA,52349,SPM,19/11/2003,4/5/98,42.16875878,-92.02400039
BENTOWA,BENTON COUNTY JAIL,7320 W. QUINAULT,KENNEWICK,BENTON,WA,99336,SEA,22/12/2009,9/11/05,46.22145003,-119.220502
BENTOMN,BENTON COUNTY JAIL,581 HIGHWAY 23 NE,FOLEY,BENTON,MN,56329,SPM,3/12/02,2/7/99,45.668487,-93.910143
BERGENJ,BERGEN COUNTY JAIL,160 SOUTH RIVER STREET,HACKENSACK,BERGEN,NJ,7601,NYC,4/11/17,13/06/1989,40.87387305,-74.03904223
BEJUVPA,BERKS COUNTY,1261 COUNTY WELFARE ROAD,LEESPORT,BERKS,PA,19533,PHI,29/03/2012,2/2/94,40.382666,-76.017389
BEFAMPA,BERKS COUNTY FAMILY SHELTER,1040 BERKS ROAD,LEESPORT,BERKS,PA,19533,PHI,4/11/17,7/1/01,40.379575,-76.019543
BERKSPA,BERKS COUNTY PRISON,1287 COUNTY WELFARE ROAD,LEESPORT,BERKS,PA,19533,PHI,2/8/10,23/07/1986,40.38278,-76.017484
BESECPA,BERKS COUNTY SECURED JUVENILE,1261 COUNTY WELFARE ROAD,LEESPORT,BERKS,PA,19533,PHI,22/05/2012,21/11/2000,40.382683,-76.017367
BRKHOLD,BERKS HOLD ROOM,1243 COUNTY WELFARE RD,LEESPORT,BERKS,PA,19533,PHI,17/10/2017,27/01/2017,40.383025,-76.013834
BERNANM,BERNALILLO COUNTY DETENTION CENTER,415 ROMA N.W.,ALBUQUERQUE,BERNALILLO,NM,87102,ELP,2/4/09,25/08/1999,35.08934329,-106.6514373
BWDGICA,BEST WESTERN DRAGON GATE INN,818 N. HILL ST.,LOS ANGELES,LOS ANGELES,CA,90012,LOS,18/10/2017,14/05/2008,34.0632755,-118.2390046
BWMARCA,BEST WESTERN MARINA,800 BAY MARINA DR,NATIONAL CITY,SAN DIEGO,CA,91950,SND,5/2/17,16/01/2017,32.6589322,-117.1099656
ISHOSNY,BETH ISRAEL HOSPITAL,305 1ST AVENUE # DAZIAN 7,NEW YORK,NEW YORK,NY,10003,NYC,7/8/17,17/03/2011,40.734669,-73.981017
BEXARTX,BEXAR COUNTY JAIL,200 N Comal Street,SAN ANTONIO,BEXAR,TX,78207,SNA,22/10/2007,22/10/1983,29.428239,-98.507214
BEXJUTX,BEXAR COUNTY JUVENILE,600 MISSION ROAD,SAN ANTONIO,BRAZOS,TX,77803,SNA,30/03/2007,2/2/99,29.395084,-98.490707
WCCBXTX,BEXAR COUNTY WACKENHUT ANNUAL DETENTION,1211 WEST TRAVIS STREET,SAN ANTONIO,BEXAR,TX,78207,SNA,21/09/2011,30/09/2007,29.42822737,-98.50754839
BHCELLA,BHC EAST LAKE (HOSP.),5650 READ BLVD,NEW ORLEANS,ORLEANS PARISH,LA,70127,NOL,15/09/1999,4/6/99,30.03155755,-89.97302219
BIGHOMT,BIG HORN COUNTY JAIL (MONTANA),COUNTY COURTHOUSE,HARDIN,BIG HORN,MT,59034,SLC,9/3/11,3/4/00,45.732727,-107.608745
BIGHOWY,BIG HORN COUNTY JAIL (WYOMING),415 Murphy St,BASIN,BIG HORN,WY,82410,DEN,25/12/2007,16/05/2007,44.382788,-108.040123
BOPBIG,BIG SPRING FEDERAL CORRECTIONAL INSTITUTE,1900 SIMLER,BIG SPRING,HOWARD,TX,79720,DAL,25/03/2007,6/5/96,32.227276,-101.505591
BSCHOLD,BIG SPRING HOLD ROOM,1701 APRON DRIVE,BIG SPRING,HOWARD,TX,79720,DAL,23/03/2017,8/3/13,32.225131,-101.514653
BILHOLD,BILLINGS HOLD ROOM,2900 4TH AVE NORTH,BILLINGS,YELLOWSTONE,MT,59101,SLC,,,45.783884,-108.509563
BINGHID,BINGHAM COUNTY JAIL,501 NORTH MAPLE,BLACKFOOT,BINGHAM,ID,83221,SLC,15/06/2008,29/01/1991,43.194573,-112.34457
BHMHOLD,BIRMINGHAM HOLD ROOM,"1833 29th Ave S, Birmingham, AL 35209",HOMEWOOD,JEFFERSON,AL,35209,NOL,,,33.479539,-86.79116
BLACKIA,BLACK HAWK COUNTY JAIL,225 E. 6TH STREET,WATERLOO,BLACK HAWK CO JAIL,IA,59523,SPM,7/4/03,29/07/1996,42.497837,-92.333839
BLAINMT,BLAINE COUNTY JAIL,400 OHIO ST,CHINOOK,BLAINE,MT,59523,SLC,29/01/2003,20/12/1991,48.590912,-109.229434
BLANCTX,BLANCO COUNTY JAIL,400 S. US 28,JOHNSON CITY,BLANCO,TX,78636,SNA,24/06/2007,16/05/2006,30.288872,-98.408721
BLOUNTN,BLOUNT COUNTY JUSTICE CENTER,940 LAMAR ALEXANDER PARKWAY,MARYVILLE,BLOUNT,TN,37801,NOL,24/02/2009,9/12/99,35.74951168,-83.99067637
BLOJVTN,BLOUNT COUNTY JUVENILE DETENTION CENTER,329 COURT ST,MARYVILLE,BLOUNT,TN,37804,NOL,25/01/2006,31/01/2003,35.755166,-83.968977
BOIHOLD,BOISE HOLDROOM,1185 S. VINNELL WAY,BOISE,ADA,ID,83709,SLC,28/05/2015,28/05/2015,43.5927664,-116.2860691
BONNRID,BONNER COUNTY DETENTION CENTER,"4001 N, BOYER AVE",SANDPOINT,BONNER,ID,83864,SLC,11/9/07,8/8/03,48.30672059,-116.5569062
BONNEID,BONNEVILLE COUNTY,605 NORTH CAPITAL,IDAHO FALLS,BONNEVILLE,ID,83402,SLC,13/01/2013,14/01/1991,43.4949879,-112.040574
BOONEKY,BOONE COUNTY JAIL,3020 CONRAD LANE,BURLINGTON,BOONE,KY,41005,CHI,4/11/17,15/02/1994,39.03732571,-84.72366686
BOSHOLD,BOSTON HOLD ROOM,10 NEW ENGLAND EXECUTIVE PARK,BURLINGTON,MIDDLESEX,MA,1803,BOS,23/07/2017,23/08/2010,42.482884,-71.208937
BPC,BOSTON SPC,"476-498 Hanover St Exd, Boston, MA 02109",BOSTON,SUFFOLK,MA,2109,BOS,8/11/16,1985,42.365668,-71.05154
BOTTIND,BOTTINEAU COUNTY JAIL,314 WEST FIFTH ST.,BOTTINEAU,BOTTINEAU,ND,58318,SPM,28/09/2012,21/11/1995,48.828305,-100.449892
BOULDCO,BOULDER COUNTY JAIL,1777 6TH ST.,BOULDER,BOULDER,CO,80302,DEN,16/04/2008,26/07/1991,40.01396656,-105.2873316
BOUNDID,BOUNDARY COUNTY,6438 KOOTENAI,BONNERS FERRY,BOUNDARY,ID,83805,SLC,12/6/06,9/1/04,48.69604674,-116.3137953
BOWCOTX,BOWIE COUNTY JAIL,100 N. STATE LINE,TEXARKANA,HARRIS,TX,77501,DAL,5/10/08,28/03/2007,33.421222,-94.042983
BOXBUNE,BOX BUTTE COUNTY,512 NIOBRARA AVENUE,ALLIANCE,BOX BUTTE,NE,69301,SPM,7/10/02,25/02/1999,42.09941763,-102.8694588
BOXELUT,BOX ELDER COUNTY,21 SOUTH MAIN,BRIGHAM,BOX ELDER,UT,84302,SLC,29/09/2004,3/6/97,41.509999,-112.015574
BRADEFL,BRADENTON DETENTION CENTER,515 11TH STREET WEST,BRADENTON,MANATEE,FL,34205,MIA,8/6/09,29/02/1996,27.49528043,-82.57259586
BRAZITX,BRAZORIA COUNTY DETENTION,3602 COUNTY ROAD 45,ANGELTON,BRAZORIA,TX,77515,HOU,24/03/2004,5/6/98,29.243749,-95.409085
BRAZOTX,BRAZOS COUNTY JAIL,300 E 26TH ST # 105,BRYAN,BRAZOS,TX,77801,SNA,21/01/2003,3/12/98,30.674232,-96.370706
BREMEIA,BREMER COUNTY JAIL,111 4TH STREET NE,WAVERLY,BREMER,IA,50677,SPM,4/10/17,14/05/1997,42.72675406,-92.465757
BREVDFL,BREVARD COUNTY JAIL COMPLEX,860 CAMP ROAD,COCOA,BREVARD,FL,32927,MIA,,,28.448417,-80.780682
BREWSTX,BREWSTER COUNTY JAIL,307 WEST SUL ROSS AVENUE,ALPINE,BREWSTER,TX,79830,ELP,7/7/08,7/7/08,30.35858773,-103.6649256
CTBRICC,BRIDGEPORT CORRECTIONAL CENTER,1106 NORTH AVENUE,BRIDGEPORT,FAIRFIELD,CT,6604,BOS,14/03/2005,25/05/2000,41.18958787,-73.19954253
MABSHOS,BRIDGEWATER STATE HOSPITAL,BRIDGEWATER STATE HOSPITAL,BRIDGEWATER,PLYMOUTH,MA,2324,BOS,11/6/15,9/11/00,41.9466983,-70.9526157
BRINDMA,BRISTOL COUNTY DETENTION CENTER,400 FAUNCE CORNER ROAD,NORTH DARTMOUTH,BRISTOL,MA,2747,BOS,4/11/17,19/08/1996,41.6653329,-70.9957847
BRINBMA,BRISTOL COUNTY JAIL (NEW BEDFORD),226 ASH ST,NEW BEDFORD,BRISTOL,MA,2740,BOS,22/01/2003,21/09/2000,41.6336134,-70.9351006
BSAHOLD,BROADVIEW SERVICE STAGING,1930 BEACH STREET,BROADVIEW,COOK,IL,60155,CHI,9/10/17,27/12/2011,41.86852212,-87.86562002
BROADMT,BROADWATER COUNTY SHERIFF,519 BROADWAY,TOWNSEND,BROADWATER,MT,59644,SLC,31/03/2010,9/6/06,46.32107595,-111.5158088
BHFLDMI,BRONSON HOSPITAL FIELDSTONE CENTER,165 N. WASHINGTON AVENUE,BATTLE CREEK,COUNTY,MI,49017,DET,24/01/2014,28/10/2013,42.329924,-85.19158
BROPDIL,BROOKFIELD POLICE DEPARTMENT,8820 BROOKFIELD AVEN,BROOKFIELD,COOK,IL,60513,CHI,22/02/2004,4/1/88,41.823737,-87.841063
BROOKSD,BROOKINGS COUNTY JAIL (SOUTH DAKOTA),315 7TH AVENUE,BROOKINGS,BROOKINGS,SD,57006,SPM,29/11/2005,26/06/1995,44.30853714,-96.79375029
BOPBRO,BROOKLYN MDC,100 29TH STREET,BROOKLYN,KINGS,NY,11232,NYC,14/10/2007,14/09/2001,40.6597866,-74.00295819
BROKSTX,BROOKS COUNTY DETENTION CENTER,901 COUNTY ROAD 201,FALFURRIAS,BROOKS,TX,78355,SNA,4/11/17,3/7/05,27.2482748,-98.12584681
